1문장 영어,1문장 한글,1문장 중국어,2 단어 영어,2 단어 한글,1글자 중국어,알파벳 영어,2단어 중국어
GidarinX,민국이,成就星,squid,오징어,金,a,乌贼
gippaHana,거대종우,冒险者X,octopus,문어,寿,b,章鱼
NoReX,보현,阿尔斯怒火,rope,경로당,梦,c,敬老院
DropStar,주먹왕보현,自行逃脱,doggy,채찍,鬼,d,鞭子
BlingNova,보주먹현,闪耀新星,warrior,파괴자,福,e,破坏者
ThinkStorm,기획무용론자,烈焰燃烧X,berserker,구독,禄,f,订阅
FlameRise,다짱,书虫X,knight,밧줄,爱,g,绳索
SenCenX,다정이,勇敢之夜,hoar,눈물,山,h,眼泪
WhiPz,Dominic,放松模式,armii,전사,竹,i,战士
D3stR0y,식기세척후라,伙伴枢纽,shinjo,고독한,草,j,孤独的
SubZcriber,초갓스장인,烹饪狂热,tears,단어,日,k,单词
Econova,야필승2231,宇宙信号,warrior,새앵각,天,l,新想法
PerforMax,멍구러니,创意头脑,lonely,시른데,马,m,不想要
EduXpert,브레드,毁灭者,word,폭격기,月,n,轰炸机
techSage,천냥,舞动狂潮,berger,잼민,雪,o,小孩
DreamXcape,테구테구,坠落之星,burger,로리,鹿,p,萝莉
WeathRage,daj_ng,梦想之境,fall,카운터,电,q,反击
JumpRush,cargold,经济风暴,autumn,가을,水,r,秋天
speechaos,carsilver,教育大师,puppy,강아지,雨,s,小狗
adv3nturX,경로당파괴자,终极失败,lecture,강의,狐,t,讲座
CosmoSign,실버타운실세,环境真实,game,게임,龙,u,游戏
SkyJetX,치자피자,健身达人,winter,겨울,猫,v,冬天
GlowVibe,마곡동피바다,探索专家,result,결과,魔,w,结果
PeakTrek,느그랜드,自由战士,season,경제,海,x,经济
IndusX,3년차기획자,狂欢节X,cat,계절,星,y,季节
ThynkStorm,기획모의면접,飞行喷射X,space,고양이,勇,z,猫
AchieveX,이즌쉬럼블리,闪光振动,study,공간,神,1,空间
chillMode,홍삼캔디압수,巅峰之旅,past,공부,蛇,2,学习
EpicFailz,유민,工业先锋,fruit,공연,云,3,表演
SunVibe,잼돌이,思维风暴,science,과거,鱼,4,过去
ReS3archX,멍멍미션,胜利之巅,cloud,과일,石,5,水果
The4trix,지우개디펜스,冷静模式,painting,과학,风,6,科学
PracT1ce,구독좋아요알,史诗失败,wait,교육,花,7,教育
CookCraze,기어써드22,烈日之魂,rejo,구름,光,8,云
BraveNite,모르는개산책,研究专家,climate,그림,战,9,画
Univex,애견카페1짱,剧场之神,flower,기술,雷,0,技术
ExerFiTz,봉규스박보검,实践大师,tree,기후,虎, ,气候
HahaLOLX,반지하의제황,勇气之夜,singing,꽃,鸟, ,花
MediCore,양귀목뒤,宇宙探险X,elderly,꿈꾸는,火, ,做梦的
InterNexus,커피바가,运动达人,running,나무,木, ,树
